Model,MeanAccuracy,StdAccuracy,MeanBalancedAccuracy,MeanF1Score,MeanROC_AUC,MeanLogLoss
ANN 8 sigmoid,0.6415901511988,0.0147207006069258,0.642261497226075,0.6275973760406006,0.6985356574035291,0.631293997168541
ANN 16 relu,0.6349556397877412,0.013585404416741715,0.6352807722608397,0.6280208732986458,0.695226148909512,0.6298931986093521
ANN 32 relu,0.632014887217873,0.013429155642968864,0.6324392469960026,0.6245274725618132,0.6888772473088404,0.635363906621933
ANN 32-16 relu,0.6188817003925688,0.021824191292743825,0.6196677116610345,0.6098760180852287,0.6747697434753808,0.6559864580631256
ANN 32-16 slow,0.616176987290564,0.01452308396488111,0.6166437450476371,0.6125710550559258,0.6689944541249394,0.6620184630155563
