Model,MeanAccuracy,StdAccuracy,MeanBalancedAccuracy,MeanF1Score,MeanROC_AUC,MeanLogLoss
RF 200 depth 10,0.6416121158073365,0.015238378488360902,0.6416491756993331,0.6237214982956576,0.7022300668492052,0.6248931107669896
RF 200 depth 15,0.6394838334271092,0.014979721277389509,0.6395688684314024,0.6259497959424888,0.6948836449848852,0.6299086452051081
RF 300 depth 10 leaf 2,0.6392580189096422,0.011781881402542868,0.6393438705953975,0.6221603818841319,0.7036469180973672,0.6235346779095566
RF 300 depth 15 leaf 2,0.638168025257726,0.013093583595309455,0.6383380118945045,0.6238333743002287,0.6972784143773885,0.6283496832135279
RF 100,0.6296888559499976,0.017208614968073913,0.6298435439253836,0.6125594272216486,0.6825877396818353,0.6372323546173604
RF 200,0.6277341347088503,0.01575396294376093,0.6277958551086689,0.6149915723842296,0.685167885370366,0.6353686574969073
