Model,NumLeaves,NEstimators,LearningRate,MeanAccuracy,StdAccuracy,MeanBalancedAccuracy,MeanF1Score,MeanROC_AUC,MeanLogLoss
LightGBM leaves 7 est 200 lr 0.05,7,200,0.05,0.64491509686098,0.01045122436212575,0.6448996073174089,0.6330544917335407,0.7057437352972469,0.622656913438594
LightGBM leaves 15 est 200 lr 0.05,15,200,0.05,0.642635502327512,0.014159851866886551,0.6426940961881997,0.6309549551321948,0.699674884031644,0.6272832323323921
LightGBM leaves 7 est 100 lr 0.05,7,100,0.05,0.641216594918102,0.012594803766187709,0.6410926756304342,0.625190449343081,0.7054877282991968,0.622800807072466
LightGBM leaves 7 est 100 lr 0.10,7,100,0.1,0.6412137228969754,0.011791435091517763,0.6411776795552246,0.6273233432118898,0.705813311363569,0.6222868593930906
LightGBM leaves 15 est 100 lr 0.10,15,100,0.1,0.6410118341601655,0.014359016313513311,0.6412947073573424,0.6306014037349649,0.7000594807828919,0.6275084270691715
LightGBM leaves 15 est 100 lr 0.05,15,100,0.05,0.6404557831749814,0.010354797913258915,0.6405291120436304,0.6248993897670224,0.7039148968298733,0.6234701936207999
LightGBM leaves 7 est 200 lr 0.10,7,200,0.1,0.6389589416577237,0.010693619898594348,0.6389905057122318,0.6270289602403389,0.700038389207835,0.6272360314017179
LightGBM leaves 15 est 200 lr 0.10,15,200,0.1,0.6363814215478198,0.015428840350209368,0.6364715247963805,0.6277747672160061,0.6914236082840487,0.6382748939669631
