Model,Accuracy,BalancedAccuracy,Precision,Recall,F1,ROC-AUC,LogLoss
XGBoost,0.6509083805430749,0.6510423059519251,0.6597444089456869,0.638577502899111,0.6489884109212335,0.7119195900513626,0.617870569229126
AdaBoost,0.6479781207267045,0.648008849692624,0.6537406972189581,0.645148821028218,0.6494163424124514,0.7103628636559881,0.6248503733833953
LightGBM,0.647587419417855,0.6478112246736172,0.6590816741162129,0.6269810591418632,0.6426307448494454,0.7092176461356485,0.6205341017123955
Random Forest,0.6466106661457316,0.6468406560692636,0.6582587469487388,0.6254348666408968,0.6414271555996036,0.7098209787545089,0.6189597314952365
ANN,0.6434850556749365,0.6435551496698464,0.6503551696921863,0.6370313103981445,0.6436242921304433,0.7027780780192127,0.6253129839897156
k-NN,0.6423129517483883,0.6426977822640972,0.6585570469798657,0.6068805566293003,0.6316636491651579,0.6991327398934153,0.6289150030697944
