Model,MaxDepth,NEstimators,LearningRate,MeanAccuracy,StdAccuracy,MeanBalancedAccuracy,MeanF1Score,MeanROC_AUC,MeanLogLoss
XGBoost depth 2 est 200 lr 0.05,2,200,0.05,0.6426454752681627,0.011140162863386052,0.6427151344418504,0.6318409943383858,0.7038345045267338,0.6239753216505051
XGBoost depth 2 est 100 lr 0.10,2,100,0.1,0.6423534858049156,0.006982465093267437,0.6424369771229472,0.631548966634859,0.7037325631897814,0.6239574253559113
XGBoost depth 3 est 100 lr 0.10,3,100,0.1,0.6418841525788841,0.012208417160567746,0.6419551982622282,0.6314163081111144,0.7037426100859244,0.6239918321371078
XGBoost depth 3 est 200 lr 0.05,3,200,0.05,0.6418682445355444,0.011852340314680385,0.6419938628864081,0.62934799187818,0.7035863442485315,0.6236343681812286
XGBoost depth 3 est 100 lr 0.05,3,100,0.05,0.6416484309965392,0.008827226905375147,0.641551306029093,0.6274359857954879,0.703616486966654,0.6234976053237915
XGBoost depth 2 est 100 lr 0.05,2,100,0.05,0.6409459273656872,0.007575471805249997,0.6407512451653865,0.6314152263545993,0.7010518916690666,0.626135990023613
XGBoost depth 3 est 200 lr 0.10,3,200,0.1,0.6408945350494697,0.01101699915243845,0.6408921726395869,0.630203910680532,0.6984231456510992,0.6287868618965149
XGBoost depth 2 est 200 lr 0.10,2,200,0.1,0.6388738248594507,0.015011663757730434,0.6389887858323724,0.6268552334801152,0.7038725860673342,0.6241602450609207
