Model,HiddenLayers,Activation,LearningRate,Epochs,Accuracy,BalancedAccuracy,Precision,Recall,F1,ROC_AUC,LogLoss
ANN 16 relu,[16],relu,0.001,50,0.6386651323360184,0.6400234342919445,0.6094325718496684,0.6674737691686844,0.6371340523882897,0.692991305948487,0.6299572587013245
ANN 8 sigmoid,[8],sigmoid,0.01,50,0.6244725738396625,0.6269186384039194,0.5918079096045198,0.6763518966908797,0.6312617702448211,0.6888513657023916,0.6346569657325745
ANN 32 relu,[32],relu,0.001,50,0.6240889911775988,0.625221245203404,0.5961395694135115,0.6481033091202583,0.6210363495746326,0.6816470318923484,0.6390419006347656
ANN 32-16 relu,"[32, 16]",relu,0.001,50,0.6229382431914078,0.623591995525537,0.596822995461422,0.6368038740920097,0.6161655603279969,0.676769902628511,0.6581485867500305
ANN 32-16 slow,"[32, 16]",relu,0.0005,100,0.6083621020329881,0.6097031066366481,0.5801470588235295,0.6368038740920097,0.6071565986918045,0.6656182593961363,0.6744399070739746
