Model,MaxLeafNodes,NEstimators,LearningRate,MeanAccuracy,StdAccuracy,MeanBalancedAccuracy,MeanF1Score,MeanROC_AUC,MeanLogLoss
AdaBoost leaves 4 est 100 lr 0.5,4,100,0.5,0.6427943657806177,0.011228523624935245,0.6429647219790777,0.6368296170061863,0.6975641553202696,0.6321737686938891
AdaBoost leaves 4 est 100 lr 0.1,4,100,0.1,0.6392219578674532,0.006617246769610066,0.6392256586583184,0.6292631125655246,0.6973135645122708,0.6343214427696715
AdaBoost leaves 4 est 50 lr 0.1,4,50,0.1,0.638609512475332,0.00684246299882304,0.6384054635837448,0.6254622557058216,0.6959341016095427,0.6475337319962765
AdaBoost leaves 2 est 50 lr 0.1,2,50,0.1,0.6383509205765113,0.0075212150959841715,0.6381293924849692,0.6257335033491362,0.6943998930870741,0.6472782343821777
AdaBoost leaves 4 est 50 lr 0.5,4,50,0.5,0.6378787275867708,0.011124218062165743,0.6381144697498612,0.6312704007214164,0.6960849071139699,0.6311252991290119
AdaBoost leaves 2 est 100 lr 0.1,2,100,0.1,0.6374216835894001,0.008195592871704713,0.6372916560380684,0.6261235679778283,0.6953647561928271,0.6365114466418679
AdaBoost leaves 2 est 100 lr 0.5,2,100,0.5,0.6365391767392043,0.013827594914792414,0.6363120637369156,0.6253564878006577,0.6947391814845726,0.6331228218013988
AdaBoost leaves 2 est 50 lr 0.5,2,50,0.5,0.6357312260086544,0.013831013561311521,0.6355372725089424,0.6253831189960463,0.6933976471656782,0.6329377239627785
