Feature,Importance
PointsDifference,0.13849461410997077
RankDifference,0.1072834285980469
WinRateDifference,0.07951703109675903
SurfaceWinRateDifference,0.07163333212548584
Player2Points,0.05513415063655922
Player1Points,0.05080777603977541
ExperienceDifference,0.04826052691546403
Player1Rank,0.04387639439727887
Player2Rank,0.04226684917631265
Player2WinRateBefore,0.03893903729922225
Player1WinRateBefore,0.0369061950279456
Player1SurfaceWinRateBefore,0.03547330347978641
Player2SurfaceWinRateBefore,0.03117164792568183
Player2SurfaceMatchesBefore,0.0306184819972629
Player1MatchesBefore,0.028846942004163396
Player2MatchesBefore,0.028837320748711974
Player1SurfaceMatchesBefore,0.026547160627866863
Recent5WinRateDifference,0.020454159944604658
Player1DaysSinceLastMatch,0.019121716807255874
Player2DaysSinceLastMatch,0.018770527558900258
Player1Recent5WinRate,0.010109749371894034
Player2Recent5WinRate,0.009494230060536577
Player2H2HWinRateBefore,0.007340124082615333
DifferenceH2HWinRateBefore,0.007124673885091955
Player1H2HWinRateBefore,0.00693718629832477
H2HMatchesBefore,0.006033439784482731
