Model,MeanAccuracy,StdAccuracy,MeanBalancedAccuracy,MeanF1Score,MeanROC_AUC,MeanLogLoss
ANN 16 relu,0.6408124295983384,0.01758751750606094,0.6411100459574723,0.6345015106459553,0.699539561342542,0.6260517984628677
ANN 8 sigmoid,0.6329511988628027,0.011717110149286808,0.6335782860150532,0.6157633672180164,0.6913846026098914,0.6355796903371811
ANN 32 relu,0.6325584081479192,0.013217852321933857,0.6332886093842922,0.6230567810392752,0.6924905912143232,0.6344948261976242
ANN 32-16 relu,0.6257392940094756,0.019617889496659144,0.6263833186692753,0.6121473788275112,0.6786688056349582,0.6488023400306702
ANN 32-16 slow,0.6234145278967095,0.012152991060199753,0.6243572259589127,0.6169097704057479,0.6751404485892969,0.6554716676473618
