Model,NumberOfTrees,MaxDepth,MinSamplesLeaf,Accuracy,BalancedAccuracy,Precision,Recall,F1,ROC_AUC,LogLoss
RF 300 depth 15 leaf 2,300,15.0,2,0.6417337936325278,0.6419199481755236,0.6177606177606177,0.645682001614205,0.6314127861089187,0.7011738385511802,0.625666493278643
RF 200 depth 10,200,10.0,1,0.6413502109704642,0.6411739093496454,0.6191222570532915,0.6376109765940274,0.6282306163021869,0.7038152112862193,0.6242944406615956
RF 300 depth 10 leaf 2,300,10.0,2,0.6394322976601458,0.6396128031944268,0.6154440154440154,0.6432606941081518,0.6290449881610103,0.7045497453615206,0.6240862848094522
RF 200 depth 15,200,15.0,1,0.6317606444188723,0.631846211574133,0.6080557707203718,0.6335754640839386,0.6205533596837944,0.6965489288192233,0.6280915228184414
RF 200,200,,1,0.6309934790947449,0.6310771632471008,0.6072811773818745,0.632768361581921,0.6197628458498023,0.6922243225766864,0.6313789931286012
RF 100,100,,1,0.6286919831223629,0.62846558486612,0.6062745098039216,0.6238902340597255,0.6149562450278441,0.6882365990305329,0.6334415851279354
