MatchID,Date,SourceYear,ATP,Location,Tournament,Series,Court,Surface,Round,Best of,Player1,Player2,Player1Rank,Player2Rank,Player1Points,Player2Points,Player1B365Odds,Player2B365Odds,Player1PSOdds,Player2PSOdds,Player1MaxOdds,Player2MaxOdds,Player1AvgOdds,Player2AvgOdds,Player1Won
25,2015-01-06,2015,2,Chennai,Chennai Open,ATP250,Outdoor,Hard,1st Round,3.0,Ito T.,Ramanathan R.,87.0,285.0,576.0,172.0,1.36,3.0,1.37,3.34,1.42,3.34,1.37,2.98,1
26,2015-01-06,2015,2,Chennai,Chennai Open,ATP250,Outdoor,Hard,1st Round,3.0,Lu Y.H.,Devvarman S.,38.0,136.0,993.0,381.0,1.33,3.25,1.38,3.26,1.4,3.4,1.35,3.1,1
27,2015-01-06,2015,2,Chennai,Chennai Open,ATP250,Outdoor,Hard,1st Round,3.0,Vesely J.,Prashanth V.,65.0,557.0,741.0,56.0,1.14,5.5,1.17,5.84,1.18,5.84,1.15,5.07,1
28,2015-01-06,2015,2,Chennai,Chennai Open,ATP250,Outdoor,Hard,1st Round,3.0,Ymer E.,Sijsling I.,227.0,81.0,210.0,619.0,3.25,1.33,3.35,1.38,3.35,1.4,3.1,1.35,1
29,2015-01-06,2015,3,Doha,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3.0,Youzhny M.,Basilashvili N.,47.0,171.0,850.0,293.0,1.28,3.5,1.37,3.27,1.37,3.5,1.33,3.23,0
30,2015-01-06,2015,3,Doha,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3.0,Istomin D.,Berdych T.,48.0,7.0,850.0,4600.0,4.33,1.2,5.47,1.18,5.5,1.24,4.59,1.18,0
31,2015-01-06,2015,3,Doha,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3.0,Nadal R.,Berrer M.,3.0,127.0,6585.0,427.0,1.06,10.0,1.07,10.91,1.07,11.5,1.05,9.23,0
32,2015-01-06,2015,3,Doha,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3.0,Djokovic N.,Lajovic D.,1.0,68.0,11360.0,711.0,1.03,15.0,1.04,14.8,1.05,24.0,1.03,12.06,1
33,2015-01-06,2015,3,Doha,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3.0,Ferrer D.,De Bakker T.,10.0,141.0,4045.0,375.0,1.11,6.5,1.13,7.29,1.13,7.29,1.11,6.24,1
34,2015-01-06,2015,3,Doha,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3.0,Kavcic B.,Monaco J.,99.0,61.0,545.0,770.0,1.72,2.0,1.86,2.03,1.93,2.05,1.8,1.96,1
35,2015-01-06,2015,3,Doha,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3.0,Seppi A.,Mayer L.,45.0,28.0,870.0,1299.0,1.83,1.83,2.1,1.81,2.13,1.96,1.95,1.81,1
36,2015-01-06,2015,3,Doha,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3.0,Souza J.,Jaziri M.,117.0,74.0,468.0,676.0,2.25,1.57,2.42,1.63,2.5,1.63,2.31,1.58,1
37,2015-01-06,2015,3,Doha,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3.0,Struff J.L.,Kohlschreiber P.,58.0,24.0,781.0,1415.0,3.25,1.33,3.27,1.38,3.3,1.4,3.09,1.35,1
38,2015-01-07,2015,1,Brisbane,Brisbane International,ATP250,Outdoor,Hard,2nd Round,3.0,Dimitrov G.,Chardy J.,11.0,31.0,3645.0,1195.0,1.3,3.4,1.36,3.48,1.4,3.48,1.33,3.18,1
39,2015-01-07,2015,1,Brisbane,Brisbane International,ATP250,Outdoor,Hard,2nd Round,3.0,Dolgopolov O.,Klizan M.,23.0,34.0,1455.0,1094.0,1.4,2.75,1.49,2.82,1.51,2.82,1.46,2.62,0
40,2015-01-07,2015,1,Brisbane,Brisbane International,ATP250,Outdoor,Hard,2nd Round,3.0,Nishikori K.,Johnson S.,5.0,37.0,5025.0,999.0,1.11,6.5,1.14,6.91,1.17,6.91,1.13,5.7,1
41,2015-01-07,2015,1,Brisbane,Brisbane International,ATP250,Outdoor,Hard,2nd Round,3.0,Kokkinakis T.,Tomic B.,149.0,53.0,341.0,797.0,3.0,1.36,3.11,1.42,3.12,1.48,2.83,1.4,0
